Begrime Damaged_sealing_ring Insufficient_traffic Throttle_component Pressure_rise_limiter Valve_components Fuel_regulator Start_fuel_valve Check_valve Start_fueling Thermostat_failure Thermostat_circuit_disconnected On_signal_off Temperature_regulator Parking_switch Automatic_fuel_dispenser Throttle Short_circuit_or_open_circuit Faulty_fuel_drain_valve Fine_Oil_Filter_1 Shaft_seal_damaged_1 Gear_pump_wear_1 Gear_pump_1 Fine_Oil_Filter_2 Shaft_seal_damaged_2 Gear_pump_wear_2 Gear_pump_2 Gear_pump Fuel_System Autostarter Distribution_valve Breakdown_shutdown_1 Oil_leak_1 Abnormal_speed Thermostat_working Breakdown_shutdown_2 Unable_to_adjust_fuel Injector_pressure_fluctuation Low_protection_value No_working_signal No_power_on_signal Low_fuel_injector_pressure Thermostat_check_abnormality Oil_leak_2 Iron_filings_1 Pressure_difference_1 Pressure_fluctuations_2 Iron_filings_2 Pressure_difference_2
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 劣化 正常 未发生 未发生 正常 劣化 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
未发生 未发生 未发生 正常 正常 正常 正常 正常 正常 正常 未发生 未发生 未发生 正常 正常 正常 正常 未发生 正常 正常 未发生 未发生 正常 正常 未发生 未发生 正常 正常 正常 正常 正常 发生 未发生 未发生 发生 发生 未发生 未发生 未发生 发生 未发生 未发生 未发生 未发生 未发生 正常 未发生 未发生 正常
